id;placed_date;status;code;invoice_id;customer
1;2022-07-04T02:50:20;COMPLETED;Electronics;57858;calculate
2;2022-07-04T01:34:10;CANCELLED;one-to-one Corporate;74608;Steel
3;2022-07-03T17:01:37;CANCELLED;cross-platform Health;12251;real-time
4;2022-07-03T19:48:22;CANCELLED;Hat;10576;Square revolutionize
5;2022-07-04T02:51:51;CANCELLED;implement Implementation;23738;Bike
6;2022-07-03T18:03:12;CANCELLED;Industrial Checking Right-sized;52549;models
7;2022-07-03T18:15:20;PENDING;Implemented;30578;Home
8;2022-07-03T22:14:21;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2022-07-04T03:02:07;COMPLETED;National Program;95175;neural hacking
10;2022-07-04T02:55:07;COMPLETED;hack Shirt Walks;57700;full-range back
